英文,詞性,中文,備註
pandemic,n,流行病,(n) a disease that exists in almost all of an area
pandemic,a,流行的,(a) (of a disease) existing in almost all of an area
coronavirus,n,冠狀病毒,"(n) a type of virus that causes diseases in humans and animals. In humans, it usually causes 
respiratory infections (= in the nose, throat, or chest) that are not serious
Ex: SARS was a new strain of coronavirus."
corona,n,"（身體組織）冠，冠狀
部","(n) the top rounded part of a body part such as a tooth or the skull,"
viral,a,病毒的,"(a) caused by a virus, 
Ex: Within days the film clip went viral"
pneumonia,n,肺炎,"(n) a serious illness in which one or both lungs become inflamed and fill with fluid, 
Ex: The doctor checked whether the patient had pneumonia."
symptom,n,（疾病的）癥狀,"(n) any feeling of illness or physical or mental change that is caused by a particular disease
Ex: He's complaining of all the usual flu symptoms - a high temperature, headache, and so on"
fever,n,發燒,"(n) a condition in which body temperature is higher than normal,
Ex: A high fever is a common symptom of infection"
cough,n,咳，咳嗽,"(n) to force air out of your lungs through your throat with a short, loud sound
Ex: The smoke made me cough"
fatigue,n,疲勞,"(n) extreme tiredness, especially caused by illness or hard work
Ex: Many patients reported fatigue after infection."
